PIN,complete,date,calendar_time,location,commit,version,parameter_name,parameter_value
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,right_tilt,39
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_key_testing,<p>This is a key-testing stage.</p> <p>We need to check whether your keyboard is working properly.</p> <p>Press any key when you are ready.</p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_key_testing,<p>Thank you for your patience.</p> <p>Press any key when you are ready to start.</p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_WBF,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_WBF,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_WBF,<p>We'd like to briefly ask you about some symptoms before the online game. <br> Press any key when you are ready. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_WBF,<p>That's it for the symptom questions. Now we're ready to start the online game. <br> Press any key when you are ready. </p>
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_demographics,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_demographics,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_demographics,Demographics open
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_demographics,Demographics close
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_inventory,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_inventory,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_inventory,Symptom inventories open
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_inventory,Symptom inventories close
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_SDS,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_SDS,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_SDS,SDS open
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_SDS,SDS close
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_ICAR,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_ICAR,FALSE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,open_instruct_text_ICAR,ICAR open
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,close_instruct_text_ICAR,ICAR close
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,inventory_rand,TRUE
'00002',y,07-08-2020,09:30:05,India,5b501e4,A,symptom_inventory,"OCI-R, MOVES, DASS, ASRS-5, EAT-26, RAADS-14, PHQ-9, GAD-7, LSAS, ASRM, PC-PTSD-5, PRIME-R, AUDIT, PGSI, YIAT, SMOKING STATUS, ISI, PID-5-BF"
